Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
11/1/2022,72.00,60.00,66.00,14.30,0,1,0.07,0.00,0.00
11/2/2022,73.00,53.00,63.00,11.60,2,0,0.00,0.00,0.00
11/3/2022,69.00,47.00,58.00,6.90,7,0,0.00,0.00,0.00
11/4/2022,73.00,49.00,61.00,10.30,4,0,0.00,0.00,0.00
11/5/2022,79.00,61.00,70.00,19.60,0,5,0.00,0.00,0.00
11/6/2022,77.00,66.00,71.50,21.50,0,7,0.01,0.00,0.00
11/7/2022,81.00,56.00,68.50,18.80,0,4,0.01,0.00,0.00
11/8/2022,62.00,46.00,54.00,4.60,11,0,0.00,0.00,0.00
11/9/2022,55.00,38.00,46.50,-2.50,18,0,0.00,0.00,0.00
11/10/2022,70.00,42.00,56.00,7.30,9,0,0.00,0.00,0.00
11/11/2022,71.00,56.00,63.50,15.10,1,0,0.77,0.00,0.00
11/12/2022,74.00,62.00,68.00,19.90,0,3,0.04,0.00,0.00
11/13/2022,63.00,42.00,52.50,4.80,12,0,0.04,0.00,0.00
11/14/2022,48.00,35.00,41.50,-5.90,23,0,0.00,0.00,0.00
11/15/2022,47.00,33.00,40.00,-7.10,25,0,0.58,0.00,0.00
11/16/2022,53.00,40.00,46.50,-0.20,18,0,0.24,0.00,0.00
11/17/2022,48.00,36.00,42.00,-4.40,23,0,0.00,0.00,0.00
11/18/2022,46.00,32.00,39.00,-7.10,26,0,0.01,0.00,0.00
11/19/2022,42.00,27.00,34.50,-11.30,30,0,0.00,0.00,0.00
11/20/2022,39.00,27.00,33.00,-12.50,32,0,0.00,0.00,0.00
11/21/2022,44.00,24.00,34.00,-11.10,31,0,0.00,0.00,0.00
11/22/2022,53.00,31.00,42.00,-2.80,23,0,0.00,0.00,0.00
11/23/2022,58.00,33.00,45.50,1.00,19,0,0.00,0.00,0.00
11/24/2022,57.00,32.00,44.50,0.30,20,0,0.00,0.00,0.00
11/25/2022,58.00,41.00,49.50,5.60,15,0,0.01,0.00,0.00
11/26/2022,60.00,42.00,51.00,7.40,14,0,0.00,0.00,0.00
11/27/2022,60.00,42.00,51.00,7.70,14,0,0.52,0.00,0.00
11/28/2022,56.00,42.00,49.00,6.10,16,0,0.01,0.00,0.00
11/29/2022,45.00,33.00,39.00,-3.60,26,0,0.00,0.00,0.00
11/30/2022,60.00,36.00,48.00,5.70,17,0,0.49,0.00,0.00
12/1/2022,45.00,34.00,39.50,-2.50,25,0,0.00,0.00,0.00
12/2/2022,46.00,29.00,37.50,-4.20,27,0,0.00,0.00,0.00
12/3/2022,59.00,44.00,51.50,10.10,13,0,0.39,0.00,0.00
12/4/2022,48.00,33.00,40.50,-0.70,24,0,0.00,0.00,0.00
12/5/2022,49.00,29.00,39.00,-1.90,26,0,0.00,0.00,0.00
12/6/2022,58.00,34.00,46.00,5.40,19,0,0.64,0.00,0.00
12/7/2022,60.00,54.00,57.00,16.70,8,0,0.21,0.00,0.00
12/8/2022,55.00,43.00,49.00,9.00,16,0,0.00,0.00,0.00
12/9/2022,48.00,33.00,40.50,0.80,24,0,0.00,0.00,0.00
12/10/2022,42.00,29.00,35.50,-4.00,29,0,0.01,0.00,0.00
12/11/2022,41.00,34.00,37.50,-1.70,27,0,0.30,0.00,0.00
12/12/2022,39.00,29.00,34.00,-4.90,31,0,0.01,0.00,0.00
12/13/2022,43.00,24.00,33.50,-5.10,31,0,0.00,0.00,0.00
12/14/2022,42.00,30.00,36.00,-2.40,29,0,0.00,0.00,0.00
12/15/2022,44.00,32.00,38.00,-0.10,27,0,0.68,0.00,0.00
12/16/2022,46.00,40.00,43.00,5.10,22,0,0.51,0.00,0.00
12/17/2022,47.00,36.00,41.50,3.90,23,0,0.00,0.00,0.00
12/18/2022,43.00,31.00,37.00,-0.40,28,0,0.00,0.00,0.00
12/19/2022,42.00,30.00,36.00,-1.10,29,0,0.00,0.00,0.00
12/20/2022,42.00,30.00,36.00,-0.90,29,0,0.00,0.00,0.00
12/21/2022,43.00,24.00,33.50,-3.10,31,0,0.00,0.00,0.00
12/22/2022,52.00,29.00,40.50,4.10,24,0,0.28,0.00,0.00
12/23/2022,58.00,9.00,33.50,-2.70,31,0,1.26,0.00,0.00
12/24/2022,17.00,8.00,12.50,-23.40,52,0,0.00,0.00,0.00
12/25/2022,30.00,14.00,22.00,-13.70,43,0,0.00,0.00,0.00
12/26/2022,31.00,18.00,24.50,-11.00,40,0,0.00,0.00,0.00
12/27/2022,36.00,28.00,32.00,-3.30,33,0,0.00,0.00,0.00
12/28/2022,49.00,28.00,38.50,3.40,26,0,0.00,0.00,0.00
12/29/2022,52.00,32.00,42.00,7.10,23,0,0.00,0.00,0.00
12/30/2022,62.00,39.00,50.50,15.80,14,0,0.00,0.00,0.00
12/31/2022,54.00,45.00,49.50,15.00,15,0,0.26,0.00,0.00
1/1/2023,58.00,45.00,51.50,17.20,13,0,0.01,0.00,0.00
1/2/2023,59.00,43.00,51.00,16.90,14,0,0.05,0.00,0.00
1/3/2023,56.00,49.00,52.50,18.60,12,0,0.45,0.00,0.00
1/4/2023,66.00,50.00,58.00,24.30,7,0,0.02,0.00,0.00
1/5/2023,55.00,47.00,51.00,17.40,14,0,0.01,0.00,0.00
1/6/2023,50.00,39.00,44.50,11.10,20,0,0.31,0.00,0.00
1/7/2023,48.00,37.00,42.50,9.20,22,0,0.00,0.00,0.00
1/8/2023,42.00,33.00,37.50,4.40,27,0,0.00,0.00,0.00
1/9/2023,48.00,37.00,42.50,9.50,22,0,0.01,0.00,0.00
1/10/2023,43.00,33.00,38.00,5.10,27,0,0.00,0.00,0.00
1/11/2023,41.00,36.00,38.50,5.70,26,0,0.00,0.00,0.00
1/12/2023,57.00,39.00,48.00,15.30,17,0,0.21,0.00,0.00
1/13/2023,59.00,38.00,48.50,15.90,16,0,0.11,0.00,0.00
1/14/2023,38.00,33.00,35.50,3.00,29,0,0.01,0.00,0.00
1/15/2023,46.00,32.00,39.00,6.60,26,0,0.00,0.00,0.00
1/16/2023,51.00,29.00,40.00,7.60,25,0,0.00,0.00,0.00
1/17/2023,48.00,31.00,39.50,7.20,25,0,0.00,0.00,0.00
1/18/2023,57.00,40.00,48.50,16.20,16,0,0.02,0.00,0.00
1/19/2023,44.00,38.00,41.00,8.80,24,0,0.95,0.00,0.00
1/20/2023,51.00,38.00,44.50,12.30,20,0,0.01,0.00,0.00
1/21/2023,42.00,38.00,40.00,7.80,25,0,0.01,0.00,0.00
1/22/2023,43.00,37.00,40.00,7.80,25,0,0.50,0.00,0.00
1/23/2023,41.00,37.00,39.00,6.80,26,0,0.29,0.00,0.00
1/24/2023,50.00,36.00,43.00,10.80,22,0,0.00,0.00,0.00
1/25/2023,58.00,34.00,46.00,13.80,19,0,0.95,0.00,0.00
1/26/2023,58.00,40.00,49.00,16.70,16,0,0.38,0.00,0.00
1/27/2023,45.00,31.00,38.00,5.70,27,0,0.00,0.00,0.00
1/28/2023,55.00,31.00,43.00,10.60,22,0,0.01,0.00,0.00
1/29/2023,54.00,38.00,46.00,13.50,19,0,0.00,0.00,0.00
1/30/2023,57.00,39.00,48.00,15.50,17,0,0.00,0.00,0.00
1/31/2023,49.00,32.00,40.50,7.90,24,0,0.06,0.00,0.00
2/1/2023,40.00,27.00,33.50,0.80,31,0,0.02,0.00,0.00
2/2/2023,42.00,25.00,33.50,0.60,31,0,0.00,0.00,0.00
2/3/2023,35.00,13.00,24.00,-9.00,41,0,0.00,0.00,0.00
2/4/2023,26.00,5.00,15.50,-17.60,49,0,0.00,0.00,0.00
2/5/2023,51.00,25.00,38.00,4.70,27,0,0.00,0.00,0.00
2/6/2023,56.00,32.00,44.00,10.60,21,0,0.00,0.00,0.00
2/7/2023,43.00,27.00,35.00,1.40,30,0,0.01,0.00,0.00
2/8/2023,57.00,35.00,46.00,12.30,19,0,0.01,0.00,0.00
2/9/2023,52.00,33.00,42.50,8.60,22,0,0.00,0.00,0.00
2/10/2023,61.00,43.00,52.00,17.90,13,0,0.00,0.00,0.00
2/11/2023,48.00,36.00,42.00,7.80,23,0,0.00,0.00,0.00
2/12/2023,48.00,31.00,39.50,5.10,25,0,0.12,0.00,0.00
2/13/2023,61.00,39.00,50.00,15.40,15,0,0.01,0.00,0.00
2/14/2023,57.00,42.00,49.50,14.70,15,0,0.00,0.00,0.00
2/15/2023,70.00,43.00,56.50,21.50,8,0,0.00,0.00,0.00
2/16/2023,68.00,50.00,59.00,23.70,6,0,0.06,0.00,0.00
2/17/2023,62.00,33.00,47.50,12.00,17,0,0.15,0.00,0.00
2/18/2023,44.00,28.00,36.00,0.30,29,0,0.00,0.00,0.00
2/19/2023,52.00,32.00,42.00,6.10,23,0,0.00,0.00,0.00
2/20/2023,64.00,40.00,52.00,15.90,13,0,0.00,0.00,0.00
2/21/2023,49.00,38.00,43.50,7.10,21,0,0.21,0.00,0.00
2/22/2023,45.00,34.00,39.50,2.90,25,0,0.19,0.00,0.00
2/23/2023,45.00,40.00,42.50,5.70,22,0,0.01,0.00,0.00
2/24/2023,48.00,26.00,37.00,-0.10,28,0,0.01,0.00,0.00
2/25/2023,34.00,23.00,28.50,-8.80,36,0,0.01,0.00,0.00
2/26/2023,53.00,23.00,38.00,0.40,27,0,0.00,0.00,0.00
2/27/2023,45.00,34.00,39.50,1.70,25,0,0.38,1.00,0.00
2/28/2023,39.00,33.00,36.00,-2.00,29,0,0.26,1.00,2.00
3/1/2023,46.00,30.00,38.00,-0.30,27,0,0.01,0.00,1.00
3/2/2023,57.00,40.00,48.50,10.00,16,0,0.01,0.00,0.00
