Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
11/1/2022,72,60,66,14.3,0,1,0.07,0,0
11/2/2022,73,53,63,11.6,2,0,0.00,0,0
11/3/2022,69,47,58,6.9,7,0,0.00,0,0
11/4/2022,73,49,61,10.3,4,0,0.00,0,0
11/5/2022,79,61,70,19.6,0,5,0.00,0,0
11/6/2022,77,66,71.5,21.5,0,7,0.01,0,0
11/7/2022,81,56,68.5,18.8,0,4,0.01,0,0
11/8/2022,62,46,54,4.6,11,0,0.00,0,0
11/9/2022,55,38,46.5,-2.5,18,0,0.00,0,0
11/10/2022,70,42,56,7.3,9,0,0.00,0,0
11/11/2022,71,56,63.5,15.1,1,0,0.77,0,0
11/12/2022,74,62,68,19.9,0,3,0.04,0,0
11/13/2022,63,42,52.5,4.8,12,0,0.04,0,0
11/14/2022,48,35,41.5,-5.9,23,0,0.00,0,0
11/15/2022,47,33,40,-7.1,25,0,0.58,0,0
11/16/2022,53,40,46.5,-0.2,18,0,0.24,0,0
11/17/2022,48,36,42,-4.4,23,0,0.00,0,0
11/18/2022,46,32,39,-7.1,26,0,0.01,0,0
11/19/2022,42,27,34.5,-11.3,30,0,0.00,0,0
11/20/2022,39,27,33,-12.5,32,0,0.00,0,0
11/21/2022,44,24,34,-11.1,31,0,0.00,0,0
11/22/2022,53,31,42,-2.8,23,0,0.00,0,0
11/23/2022,58,33,45.5,1,19,0,0.00,0,0
11/24/2022,57,32,44.5,0.3,20,0,0.00,0,0
11/25/2022,58,41,49.5,5.6,15,0,0.01,0,0
11/26/2022,60,42,51,7.4,14,0,0.00,0,0
11/27/2022,60,42,51,7.7,14,0,0.52,0,0
11/28/2022,56,42,49,6.1,16,0,0.01,0,0
11/29/2022,45,33,39,-3.6,26,0,0.00,0,0
11/30/2022,60,36,48,5.7,17,0,0.49,0,0
12/1/2022,45,34,39.5,-2.5,25,0,0.00,0,0
12/2/2022,46,29,37.5,-4.2,27,0,0.00,0,0
12/3/2022,59,44,51.5,10.1,13,0,0.39,0,0
12/4/2022,48,33,40.5,-0.7,24,0,0.00,0,0
12/5/2022,49,29,39,-1.9,26,0,0.00,0,0
12/6/2022,58,34,46,5.4,19,0,0.64,0,0
12/7/2022,60,54,57,16.7,8,0,0.21,0,0
12/8/2022,55,43,49,9,16,0,0.00,0,0
12/9/2022,48,33,40.5,0.8,24,0,0.00,0,0
12/10/2022,42,29,35.5,-4,29,0,0.01,0,0
12/11/2022,41,34,37.5,-1.7,27,0,0.30,0,0
12/12/2022,39,29,34,-4.9,31,0,0.01,0,0
12/13/2022,43,24,33.5,-5.1,31,0,0.00,0,0
12/14/2022,42,30,36,-2.4,29,0,0.00,0,0
12/15/2022,44,32,38,-0.1,27,0,0.68,0,0
12/16/2022,46,40,43,5.1,22,0,0.51,0,0
12/17/2022,47,36,41.5,3.9,23,0,0.00,0,0
12/18/2022,43,31,37,-0.4,28,0,0.00,0,0
12/19/2022,42,30,36,-1.1,29,0,0.00,0,0
12/20/2022,42,30,36,-0.9,29,0,0.00,0,0
12/21/2022,43,24,33.5,-3.1,31,0,0.00,0,0
12/22/2022,52,29,40.5,4.1,24,0,0.28,0,0
12/23/2022,58,9,33.5,-2.7,31,0,1.26,0,0
12/24/2022,17,8,12.5,-23.4,52,0,0.00,0,0
12/25/2022,30,14,22,-13.7,43,0,0.00,0,0
12/26/2022,31,18,24.5,-11,40,0,0.00,0,0
12/27/2022,36,28,32,-3.3,33,0,0.00,0,0
12/28/2022,49,28,38.5,3.4,26,0,0.00,0,0
12/29/2022,52,32,42,7.1,23,0,0.00,0,0
12/30/2022,62,39,50.5,15.8,14,0,0.00,0,0
12/31/2022,54,45,49.5,15,15,0,0.26,0,0
1/1/2023,58,45,51.5,17.2,13,0,0.01,0,0
1/2/2023,59,43,51,16.9,14,0,0.05,0,0
1/3/2023,56,49,52.5,18.6,12,0,0.45,0,0
1/4/2023,66,50,58,24.3,7,0,0.02,0,0
1/5/2023,55,47,51,17.4,14,0,0.01,0,0
1/6/2023,50,39,44.5,11.1,20,0,0.31,0,0
1/7/2023,48,37,42.5,9.2,22,0,0.00,0,0
1/8/2023,42,33,37.5,4.4,27,0,0.00,0,0
1/9/2023,48,37,42.5,9.5,22,0,0.01,0,0
1/10/2023,43,33,38,5.1,27,0,0.00,0,0
1/11/2023,41,36,38.5,5.7,26,0,0.00,0,0
1/12/2023,57,39,48,15.3,17,0,0.21,0,0
1/13/2023,59,38,48.5,15.9,16,0,0.11,0,0
1/14/2023,38,33,35.5,3,29,0,0.01,0,0
1/15/2023,46,32,39,6.6,26,0,0.00,0,0
1/16/2023,51,29,40,7.6,25,0,0.00,0,0
1/17/2023,48,31,39.5,7.2,25,0,0.00,0,0
1/18/2023,57,40,48.5,16.2,16,0,0.02,0,0
1/19/2023,44,38,41,8.8,24,0,0.95,0,0
1/20/2023,51,38,44.5,12.3,20,0,0.01,0,0
1/21/2023,42,38,40,7.8,25,0,0.01,0,0
1/22/2023,43,37,40,7.8,25,0,0.50,0,0
1/23/2023,41,37,39,6.8,26,0,0.29,0,0
1/24/2023,50,36,43,10.8,22,0,0.00,0,0
1/25/2023,58,34,46,13.8,19,0,0.95,0,0
1/26/2023,58,40,49,16.7,16,0,0.38,0,0
1/27/2023,45,31,38,5.7,27,0,0.00,0,0
1/28/2023,55,31,43,10.6,22,0,0.01,0,0
1/29/2023,54,38,46,13.5,19,0,0.00,0,0
1/30/2023,57,39,48,15.5,17,0,0.00,0,0
1/31/2023,49,32,40.5,7.9,24,0,0.06,0,0
2/1/2023,40,27,33.5,0.8,31,0,0.02,0,0
2/2/2023,42,25,33.5,0.6,31,0,0.00,0,0
2/3/2023,35,13,24,-9,41,0,0.00,0,0
2/4/2023,26,5,15.5,-17.6,49,0,0.00,0,0
2/5/2023,51,25,38,4.7,27,0,0.00,0,0
2/6/2023,56,32,44,10.6,21,0,0.00,0,0
2/7/2023,43,27,35,1.4,30,0,0.01,0,0
2/8/2023,57,35,46,12.3,19,0,0.01,0,0
2/9/2023,52,33,42.5,8.6,22,0,0.00,0,0
2/10/2023,61,43,52,17.9,13,0,0.00,0,0
2/11/2023,48,36,42,7.8,23,0,0.00,0,0
2/12/2023,48,31,39.5,5.1,25,0,0.12,0,0
2/13/2023,61,39,50,15.4,15,0,0.01,0,0
2/14/2023,57,42,49.5,14.7,15,0,0.00,0,0
2/15/2023,70,43,56.5,21.5,8,0,0.00,0,0
2/16/2023,68,50,59,23.7,6,0,0.06,0,0
2/17/2023,62,33,47.5,12,17,0,0.15,0,0
2/18/2023,44,28,36,0.3,29,0,0.00,0,0
2/19/2023,52,32,42,6.1,23,0,0.00,0,0
2/20/2023,64,40,52,15.9,13,0,0.00,0,0
2/21/2023,49,38,43.5,7.1,21,0,0.21,0,0
2/22/2023,45,34,39.5,2.9,25,0,0.19,0,0
2/23/2023,45,40,42.5,5.7,22,0,0.01,0,0
2/24/2023,48,26,37,-0.1,28,0,0.01,0,0
2/25/2023,34,23,28.5,-8.8,36,0,0.01,0,0
2/26/2023,53,23,38,0.4,27,0,0.00,0,0
2/27/2023,45,34,39.5,1.7,25,0,0.38,1,0
2/28/2023,39,33,36,-2,29,0,0.26,1,2
3/1/2023,46,30,38,-0.3,27,0,0.01,0,1
3/2/2023,57,40,48.5,10,16,0,0.01,0,0
3/3/2023,47,36,41.5,2.7,23,0,0.25,0,0
3/4/2023,50,40,45,5.9,20,0,1.24,0,0
3/5/2023,57,39,48,8.7,17,0,0.00,0,0
3/6/2023,54,40,47,7.4,18,0,0.01,0,0
3/7/2023,50,34,42,2.2,23,0,0.13,0,0
3/8/2023,50,32,41,0.9,24,0,0.00,0,0
3/9/2023,53,34,43.5,3.1,21,0,0.00,0,0
3/10/2023,46,34,40,-0.7,25,0,0.32,0,0
3/11/2023,47,35,41,0.1,24,0,0.33,0,0
3/12/2023,48,33,40.5,-0.7,24,0,0.00,0,0
3/13/2023,45,39,42,0.5,23,0,0.53,0,0
3/14/2023,39,33,36,-5.8,29,0,0.09,0,0
3/15/2023,48,35,41.5,-0.6,23,0,0.00,0,0
3/16/2023,62,31,46.5,4.1,18,0,0.00,0,0
3/17/2023,61,45,53,10.3,12,0,0.01,0,0
3/18/2023,56,41,48.5,5.5,16,0,0.01,0,0
3/19/2023,42,30,36,-7.3,29,0,0.00,0,0
3/20/2023,54,27,40.5,-3.1,24,0,0.00,0,0
3/21/2023,65,32,48.5,4.6,16,0,0.00,0,0
3/22/2023,65,40,52.5,8.2,12,0,0.00,0,0
3/23/2023,62,46,54,9.4,11,0,0.04,0,0
3/24/2023,57,43,50,5.1,15,0,0.01,0,0
3/25/2023,47,42,44.5,-0.8,20,0,0.16,0,0
3/26/2023,65,41,53,7.4,12,0,0.00,0,0
3/27/2023,60,43,51.5,5.5,13,0,0.20,0,0
3/28/2023,54,41,47.5,1.2,17,0,0.01,0,0
3/29/2023,57,38,47.5,0.8,17,0,0.01,0,0
3/30/2023,48,31,39.5,-7.6,25,0,0.01,0,0
3/31/2023,56,33,44.5,-2.9,20,0,0.00,0,0
4/1/2023,74,52,63,15.2,2,0,0.26,0,0
4/2/2023,53,37,45,-3.2,20,0,0.00,0,0
4/3/2023,66,36,51,2.4,14,0,0.00,0,0
4/4/2023,73,47,60,11.1,5,0,0.00,0,0
4/5/2023,59,48,53.5,4.2,11,0,0.01,0,0
4/6/2023,83,48,65.5,15.8,0,1,0.01,0,0
4/7/2023,62,43,52.5,2.4,12,0,0.00,0,0
4/8/2023,54,38,46,-4.5,19,0,0.00,0,0
4/9/2023,55,35,45,-5.9,20,0,0.00,0,0
4/10/2023,69,35,52,0.7,13,0,0.00,0,0
4/11/2023,77,45,61,9.3,4,0,0.00,0,0
4/12/2023,87,64,75.5,23.4,0,11,0.00,0,0
4/13/2023,92,61,76.5,24,0,12,0.00,0,0
4/14/2023,93,61,77,24.1,0,12,0.00,0,0
4/15/2023,75,60,67.5,14.3,0,3,0.15,0,0
4/16/2023,72,56,64,10.4,1,0,0.01,0,0
4/17/2023,71,55,63,9,2,0,0.03,0,0
4/18/2023,59,45,52,-2.4,13,0,0.00,0,0
4/19/2023,68,40,54,-0.8,11,0,0.00,0,0
4/20/2023,64,45,54.5,-0.6,10,0,0.01,0,0
4/21/2023,69,51,60,4.5,5,0,0.00,0,0
4/22/2023,70,53,61.5,5.6,3,0,0.90,0,0
4/23/2023,72,50,61,4.8,4,0,1.01,0,0
4/24/2023,64,45,54.5,-2.1,10,0,0.00,0,0
4/25/2023,63,47,55,-1.9,10,0,0.00,0,0
4/26/2023,61,42,51.5,-5.8,13,0,0.01,0,0
4/27/2023,59,50,54.5,-3.1,10,0,0.01,0,0
4/28/2023,57,50,53.5,-4.5,11,0,0.41,0,0
4/29/2023,54,50,52,-6.3,13,0,3.05,0,0
4/30/2023,61,52,56.5,-2.1,8,0,2.26,0,0
5/1/2023,64,50,57,-1.9,8,0,0.07,0,0
5/2/2023,59,47,53,-6.2,12,0,0.05,0,0
5/3/2023,60,47,53.5,-6,11,0,0.01,0,0
5/4/2023,58,48,53,-6.8,12,0,0.02,0,0
5/5/2023,66,47,56.5,-3.6,8,0,0.01,0,0
5/6/2023,76,45,60.5,0.1,4,0,0.00,0,0
5/7/2023,80,53,66.5,5.8,0,2,0.01,0,0
5/8/2023,80,60,70,9,0,5,0.01,0,0
5/9/2023,68,55,61.5,0.2,3,0,0.00,0,0
5/10/2023,76,48,62,0.4,3,0,0.00,0,0
5/11/2023,84,52,68,6.2,0,3,0.00,0,0
5/12/2023,90,60,75,12.9,0,10,0.00,0,0
5/13/2023,84,67,75.5,13.1,0,11,0.00,0,0
5/14/2023,77,59,68,5.3,0,3,0.00,0,0
5/15/2023,78,51,64.5,1.6,0,0,0.00,0,0
5/16/2023,83,53,68,4.8,0,3,0.00,0,0
5/17/2023,70,50,60,-3.5,5,0,0.00,0,0
5/18/2023,61,44,52.5,-11.3,12,0,0.00,0,0
5/19/2023,72,52,62,-2.1,3,0,0.00,0,0
5/20/2023,70,58,64,-0.3,1,0,0.66,0,0
5/21/2023,75,57,66,1.4,0,1,0.01,0,0
5/22/2023,78,56,67,2.1,0,2,0.00,0,0
5/23/2023,69,55,62,-3.2,3,0,0.00,0,0
5/24/2023,81,52,66.5,1,0,2,0.07,0,0
5/25/2023,72,51,61.5,-4.3,3,0,0.00,0,0
5/26/2023,76,51,63.5,-2.6,1,0,0.00,0,0
5/27/2023,80,54,67,0.6,0,2,0.00,0,0
5/28/2023,80,56,68,1.3,0,3,0.00,0,0
5/29/2023,79,59,69,2,0,4,0.00,0,0
5/30/2023,70,57,63.5,-3.8,1,0,0.00,0,0
5/31/2023,78,51,64.5,-3.2,0,0,0.00,0,0
6/1/2023,88,59,73.5,5.5,0,9,0.00,0,0
6/2/2023,91,64,77.5,9.2,0,13,0.00,0,0
6/3/2023,74,56,65,-3.6,0,0,0.00,0,0
6/4/2023,71,49,60,-9,5,0,0.00,0,0
6/5/2023,80,56,68,-1.3,0,3,0.00,0,0
6/6/2023,84,62,73,3.4,0,8,0.01,0,0
6/7/2023,74,59,66.5,-3.5,0,2,0.00,0,0
6/8/2023,77,50,63.5,-6.8,1,0,0.00,0,0
6/9/2023,77,59,68,-2.7,0,3,0.01,0,0
6/10/2023,83,58,70.5,-0.5,0,6,0.01,0,0
6/11/2023,85,65,75,3.6,0,10,0.01,0,0
6/12/2023,78,68,73,1.3,0,8,0.53,0,0
6/13/2023,83,65,74,2,0,9,0.00,0,0
6/14/2023,79,62,70.5,-1.9,0,6,0.28,0,0
6/15/2023,82,60,71,-1.7,0,6,0.00,0,0
6/16/2023,82,62,72,-1,0,7,0.22,0,0
6/17/2023,82,63,72.5,-0.8,0,8,0.01,0,0
6/18/2023,85,64,74.5,0.8,0,10,0.00,0,0
6/19/2023,80,65,72.5,-1.5,0,8,0.00,0,0
6/20/2023,78,65,71.5,-2.8,0,7,0.00,0,0
6/21/2023,75,63,69,-5.6,0,4,0.00,0,0
6/22/2023,74,59,66.5,-8.4,0,2,0.04,0,0
6/23/2023,71,66,68.5,-6.7,0,4,0.07,0,0
6/24/2023,82,69,75.5,0.1,0,11,0.08,0,0
6/25/2023,87,71,79,3.3,0,14,0.01,0,0
6/26/2023,80,69,74.5,-1.4,0,10,0.90,0,0
6/27/2023,82,67,74.5,-1.7,0,10,0.53,0,0
6/28/2023,85,67,76,-0.4,0,11,0.01,0,0
6/29/2023,85,67,76,-0.6,0,11,0.00,0,0
6/30/2023,86,67,76.5,-0.3,0,12,0.00,0,0
7/1/2023,83,69,76,-1,0,11,0.00,0,0
7/2/2023,91,72,81.5,4.3,0,17,0.30,0,0
7/3/2023,93,74,83.5,6.1,0,19,0.05,0,0
7/4/2023,83,74,78.5,1,0,14,1.19,0,0
7/5/2023,94,73,83.5,5.8,0,19,0.00,0,0
7/6/2023,92,77,84.5,6.7,0,20,0.00,0,0
